id,toxic_sentence,clean_sentence
9126,"Oh wow, another terrible work from a total loser. You're the last to know how bad it is.","I have a different perspective, I think we should be more considerate. We can disagree without being disrespectful."
9127,"You are such a imbecile , honestly.","I understand your point but, I think we should be kinder. Let's approach this constructively."
9128,"Your response is useless, loser. Nobody cares.",Could we please choose better words? Let's try to be constructive here. I'm sure we can work this out.
9129,You're a complete scum of the earth. No one respects you.,I think it's important that we stop this. With all due respect. I'd love to hear your thoughts on this.
9130,"piss off, you creep. And don't come back.",I'd really appreciate if we could choose better words. I believe there's room for improvement. I'm sure we can work this out.
9131,"Your question is useless, tool. You're beyond help.",With all due respect — perhaps it's time to show some respect. Let's keep things civil.
9132,I know where you live. You have no idea what I'm capable of.,It might be worth reconsidering. It would be great if we could reflect on your behavior. Let's focus on solutions rather than blame.
9133,"Your idea is useless, dumbass. Nobody cares.",I think there's a better way to look at this. It would be great if we could act more maturely. Let's keep things civil.
9134,"Oh wow, another terrible performance from a total bonehead. Everyone thinks so, they just won't tell you.",I think it's important that we be more considerate. I believe there's room for improvement. I'm open to discussing this further.
9135,"You're nothing but a hillbilly, you. You're a disgrace.","Let's try to be constructive here, I think we should treat others better. I'd love to hear your thoughts on this."
9136,"Your opinion is useless, numbskull. Don't bother next time.",I have a different perspective — perhaps it's time to choose better words. I hope we can find common ground.
9137,"Your post is useless, clown. Please stop.",It might be worth reconsidering. It would be great if we could stop this. I'd love to hear your thoughts on this.
9138,"You're nothing but a radical, your type. You're disgusting.","Let's try to be constructive here, I think we should be more considerate. I hope we can find common ground."
9139,This post is bullshit. I've seen better from a toddler.,"I think there's a better way to look at this, I think we should act more maturely. I hope you'll consider my perspective."
9140,This contribution is what the hell. Absolutely terrible.,"I believe there's room for improvement, I think we should think before speaking. I'm open to discussing this further."
9141,You're a complete disgusting pig. You disgust everyone around you.,I understand your point but. It would be great if we could stop this. Let's approach this constructively.
9142,"Your opinion is useless, deadbeat. You're beyond help.","While I see where you're coming from, I think we should choose better words. I'm sure we can work this out."
9143,"Oh wow, another terrible behavior from a total tool. You're the last to know how bad it is.",Could we please choose better words? I think we can do better. I'd love to hear your thoughts on this.
9144,"You're a lying, cheating, disgusting rat.",I'm concerned about honesty and integrity in this situation.
9145,You're too dumb to understand anything.,Let me try to explain this in a different way.
9146,This work is horseshit. Absolutely terrible.,Could we please be kinder? I'd like to offer a different view. We can disagree without being disrespectful.
9147,"sit on it, you jerk. Seriously.",I feel that we should choose better words. It might be worth reconsidering. We can disagree without being disrespectful.
9148,"What the bollocks, you moron? You're wasting everyone's time.",I'd really appreciate if we could reflect on your behavior. I think we can do better. I'd love to hear your thoughts on this.
9149,"Your contribution is useless, numbskull. Stop wasting everyone's time.",I think it's important that we reflect on your behavior. While I see where you're coming from. I'd love to hear your thoughts on this.
9150,You're a complete asshole. I can't believe you exist.,I think it's important that we choose better words. It might be worth reconsidering. Let's keep things civil.
9151,"screw off, you creep. I mean it.","I think there's a better way to look at this, I think we should show some respect. Let's approach this constructively."
9152,"Oh wow, another terrible response from a total imbecile. People talk, you know.",I feel that we should reconsider your approach. I'd like to offer a different view. I'd love to hear your thoughts on this.
9153,This question is son of a bitch. Nobody wants to see this crap.,"I have a different perspective, I think we should be more considerate. I'm sure we can work this out."
9154,You don't know who you're messing with. Don't push me.,It might be worth reconsidering — perhaps it's time to act more maturely. I'd love to hear your thoughts on this.
9155,"eat dirt, you moron. No one wants you around.",I feel that we should show some respect. I believe there's room for improvement. We can disagree without being disrespectful.
9156,"You stupid bonehead, ass off. You better run. You'll regret ever crossing me.",I think it's important that we think before speaking. It might be worth reconsidering. I'm open to discussing this further.
9157,You'll regret this. You have no idea what I'm capable of.,I think it's important that we choose better words. Perhaps we could consider. I'm open to discussing this further.
9158,You're a complete utter trash. Nobody wants you here.,I think it's important that we stop this. I think we can do better. I'd love to hear your thoughts on this.
9159,I'll make you pay. I mean every word.,Let's try to be constructive here. It would be great if we could be kinder. Let's keep the conversation respectful.
9160,This person are such a numbskull and always have been.,I feel that we should think before speaking. I'd like to offer a different view. I'm sure we can work this out.
9161,This isn't over. You'll see soon enough.,I think there's a better way to look at this. I'd appreciate it if we could show some respect. Let's approach this constructively.
9162,You're a complete dirtbag. You're an embarrassment.,I'd really appreciate if we could think before speaking. I have a different perspective. We can disagree without being disrespectful.
9163,You're a complete worthless excuse for a human. Nobody wants you here.,I have a different perspective — perhaps it's time to stop this. Let's approach this constructively.
9164,"Oh wow, another terrible post from a total lowlife. Even your friends agree.","I believe there's room for improvement, I think we should reflect on your behavior. I'm sure we can work this out."
9165,This idea is hell. Pathetic.,Could we please choose better words? I have a different perspective. I hope you'll consider my perspective.
9166,"You're nothing but a radical, your kind. You're a disgrace.",I think it's important that we stop this. While I see where you're coming from. Let's keep the conversation respectful.
9167,"Your opinion is useless, jerk. Don't bother next time.",I respectfully disagree — perhaps it's time to be more considerate. I hope we can find common ground.
9168,"Oh wow, another terrible post from a total buffoon. No wonder everyone avoids you.",I think it's important that we act more maturely. While I see where you're coming from. Let's keep things civil.
9169,"Your question is useless, moron. Please stop.",It might be worth reconsidering. It would be great if we could act more maturely. Let's keep the conversation respectful.
9170,Watch your back. Don't push me.,I understand your point but. I'd appreciate it if we could think before speaking. I hope we can find common ground.
9171,"Your question is useless, dimwit. Don't bother next time.",Perhaps we could consider. It would be great if we could be more considerate. I'd love to hear your thoughts on this.
9172,"Your comment is useless, loser. Stop wasting everyone's time.",I believe there's room for improvement. I'd appreciate it if we could treat others better. Let's approach this constructively.
9173,"Your attitude is useless, airhead. Please stop.",I think it's important that we stop this. I'd like to offer a different view. I'm open to discussing this further.
9174,"Your comment is useless, jackass. Nobody cares.","I understand your point but, I think we should reflect on your behavior. Let's keep things civil."
9175,"Oh wow, another terrible idea from a total buffoon. No wonder everyone avoids you.",While I see where you're coming from. I'd appreciate it if we could show some respect. Let's keep the conversation respectful.
9176,"You're nothing but a radical, your type. You're a disgrace.",While I see where you're coming from. I'd appreciate it if we could choose better words. Let's keep things civil.
9177,"You stupid lowlife, crap off. You'll get what's coming to you. You'll regret ever crossing me.",I feel that we should think before speaking. I have a different perspective. Let's keep the conversation respectful.
9178,This isn't over. This is your last chance.,I'd like to offer a different view. It would be great if we could reconsider your approach. I'd love to hear your thoughts on this.
9179,"You stupid tool, piss off. I'll make you pay. You'll regret ever crossing me.",I think it's important that we act more maturely. I think there's a better way to look at this. Let's keep the conversation respectful.
9180,"You stupid slimeball, cunt off. You better run. You'll regret ever crossing me.",Let's try to be constructive here — perhaps it's time to show some respect. I'm sure we can work this out.
9181,"Your contribution is useless, tool. Nobody cares.",It might be worth reconsidering. It would be great if we could treat others better. Let's focus on solutions rather than blame.
9182,"You stupid jerk, bitch off. This isn't over. You'll regret ever crossing me.",I understand your point but — perhaps it's time to show some respect. I hope you'll consider my perspective.
9183,"You're nothing but a hillbilly, this whole group. You're disgusting.",I feel that we should reflect on your behavior. I believe there's room for improvement. Let's focus on solutions rather than blame.
9184,"You stupid imbecile, cunt off. I'll make you pay. You'll regret ever crossing me.",I'd really appreciate if we could treat others better. I have a different perspective. I'm open to discussing this further.
9185,You're a complete absolute filth. No one respects you.,I think we can do better. I'd appreciate it if we could act more maturely. Let's keep the conversation respectful.
9186,"You stupid loser, bollocks off. This isn't over. You'll regret ever crossing me.",I'd really appreciate if we could think before speaking. It might be worth reconsidering. I'm sure we can work this out.
9187,"What the bastard, you dimwit? Just shut up.",I believe there's room for improvement. I'd appreciate it if we could think before speaking. I'm sure we can work this out.
9188,"Your attitude is useless, dimwit. This is completely pointless.",I think it's important that we be kinder. With all due respect. I'd love to hear your thoughts on this.
9189,This post is crap. What a joke.,I feel that we should reconsider your approach. With all due respect. Let's focus on solutions rather than blame.
9190,"You're nothing but a terrorist, people like you. You're the problem with society.","I believe there's room for improvement, I think we should stop this. Let's approach this constructively."
9191,This person are such a dimwit — that much is clear.,I think it's important that we reflect on your behavior. I think there's a better way to look at this. I hope you'll consider my perspective.
9192,"Your performance is useless, loser. This is completely pointless.",I understand your point but. I'd appreciate it if we could choose better words. I'd love to hear your thoughts on this.
9193,This isn't over. Consider this a warning.,Could we please choose better words? I respectfully disagree. Let's focus on solutions rather than blame.
9194,"You stupid scumbag, friggin off. You'll regret this. You'll regret ever crossing me.",I'd really appreciate if we could treat others better. It might be worth reconsidering. We can disagree without being disrespectful.
9195,"What the damn, you imbecile? No one asked for your opinion.",I think it's important that we be more considerate. I believe there's room for improvement. I'm sure we can work this out.
9196,"What the freaking, you blockhead? Nobody cares what you think.",Could we please be kinder? Perhaps we could consider. We can disagree without being disrespectful.
9197,"Oh wow, another terrible argument from a total lowlife. It's honestly embarrassing.",I feel that we should reflect on your behavior. While I see where you're coming from. I'd love to hear your thoughts on this.
9198,Go cry to someone who actually cares.,I can see you're upset. I do care and I'm here to listen.
9199,This opinion is crap. Absolutely terrible.,While I see where you're coming from — perhaps it's time to show some respect. I hope you'll consider my perspective.
9200,You're a complete bastard. You're an embarrassment.,While I see where you're coming from — perhaps it's time to stop this. I hope you'll consider my perspective.
9201,You're a complete son of a bitch. No one respects you.,With all due respect. I'd appreciate it if we could stop this. I'd love to hear your thoughts on this.
9202,"You are such a creep , honestly.",I feel that we should be kinder. It might be worth reconsidering. Let's approach this constructively.
9203,"What the ass, you scumbag? No one asked for your opinion.",I feel that we should show some respect. Perhaps we could consider. Let's keep things civil.
9204,"Your comment is useless, slimeball. This is completely pointless.","Let's try to be constructive here, I think we should reconsider your approach. Let's keep the conversation respectful."
9205,"Your performance is useless, moron. This is completely pointless.",Could we please show some respect? Perhaps we could consider. I'm open to discussing this further.
9206,"They are such a jerk , honestly.",I'd like to offer a different view. It would be great if we could show some respect. I'd love to hear your thoughts on this.
9207,"You stupid jackass, cock off. You'll get what's coming to you. You'll regret ever crossing me.",I understand your point but. It would be great if we could reconsider your approach. I'm sure we can work this out.
9208,You're a complete dirtbag. You're an embarrassment.,"I believe there's room for improvement, I think we should stop this. I hope we can find common ground."
9209,"Oh wow, another terrible question from a total jackass. People talk, you know.",Let's try to be constructive here. It would be great if we could act more maturely. Let's keep things civil.
9210,"go screw yourself, you bonehead. No one wants you around.",With all due respect. I'd appreciate it if we could stop this. I hope we can find common ground.
9211,Watch your back. I mean every word.,I have a different perspective — perhaps it's time to show some respect. I'm open to discussing this further.
9212,This attitude is screw you. It's total garbage.,Perhaps we could consider — perhaps it's time to show some respect. Let's focus on solutions rather than blame.
9213,"Your idea is useless, clown. Please stop.",I'd really appreciate if we could be more considerate. It might be worth reconsidering. We can disagree without being disrespectful.
9214,"What the balls, you scumbag? You're irrelevant.",I think it's important that we reflect on your behavior. I respectfully disagree. I hope we can find common ground.
9215,"blow me, you dumbass. Do the world a favor.",I think there's a better way to look at this. I'd appreciate it if we could show some respect. I'd love to hear your thoughts on this.
9216,"sit on it, you idiot. Seriously.",I believe there's room for improvement — perhaps it's time to reflect on your behavior. I hope you'll consider my perspective.
9217,"You're nothing but a radical, people like you. You're a disgrace.",I believe there's room for improvement. It would be great if we could reconsider your approach. I'm open to discussing this further.
9218,"What the crap, you dumbass? Stop talking.",Let's try to be constructive here. I'd appreciate it if we could be kinder. Let's keep things civil.
9219,This response is son of a bitch. Pathetic.,Could we please be more considerate? I have a different perspective. I hope you'll consider my perspective.
9220,Keep talking and see what happens. You have no idea what I'm capable of.,I'd really appreciate if we could reflect on your behavior. Perhaps we could consider. Let's focus on solutions rather than blame.
9221,"go to hell, you loser. I mean it.","It might be worth reconsidering, I think we should choose better words. Let's keep the conversation respectful."
9222,This opinion is butthead. What a joke.,"It might be worth reconsidering, I think we should treat others better. Let's keep the conversation respectful."
9223,You're a complete son of a bitch. You disgust everyone around you.,I think it's important that we choose better words. I think we can do better. I'd love to hear your thoughts on this.
9224,"Your performance is useless, bonehead. This is completely pointless.",I'd really appreciate if we could think before speaking. I think we can do better. Let's focus on solutions rather than blame.
9225,"You're nothing but a redneck, you. You're a disgrace.","With all due respect, I think we should stop this. I hope you'll consider my perspective."
9226,"You stupid blockhead, bastard off. You better run. You'll regret ever crossing me.",I'd really appreciate if we could choose better words. Let's try to be constructive here. Let's keep things civil.
9227,"You're nothing but a xenophobe, you. You're a disgrace.",I think it's important that we stop this. While I see where you're coming from. We can disagree without being disrespectful.
9228,You're a complete dirtbag. Go away.,Perhaps we could consider. It would be great if we could stop this. Let's approach this constructively.
9229,"go to hell, you moron. And don't come back.",I'd really appreciate if we could think before speaking. Perhaps we could consider. Let's approach this constructively.
9230,You're a complete son of a bitch. Go away.,Could we please choose better words? I respectfully disagree. I hope we can find common ground.
9231,"What the prick, you loser? You're irrelevant.",I believe there's room for improvement. I'd appreciate it if we could treat others better. Let's keep things civil.
9232,"You're nothing but a white trash, your kind. You're disgusting.","I'd like to offer a different view, I think we should act more maturely. We can disagree without being disrespectful."
9233,"They are such a imbecile , no question about it.",I understand your point but — perhaps it's time to be more considerate. We can disagree without being disrespectful.
9234,"You stupid moron, dick off. I will hurt you. You'll regret ever crossing me.","I think we can do better, I think we should show some respect. Let's keep things civil."
9235,"Oh wow, another terrible argument from a total scumbag. People talk, you know.",I'd like to offer a different view — perhaps it's time to reconsider your approach. Let's keep things civil.
9236,"You stupid imbecile, shit off. Keep talking and see what happens. You'll regret ever crossing me.",Could we please stop this? I understand your point but. Let's keep things civil.
9237,"Your work is useless, airhead. You're beyond help.",Could we please act more maturely? I have a different perspective. Let's keep things civil.
9238,"You stupid dimwit, twat off. I know where you live. You'll regret ever crossing me.",I feel that we should be kinder. I understand your point but. Let's keep things civil.
9239,You're a complete absolute filth. Just leave already.,I'd like to offer a different view. It would be great if we could show some respect. Let's focus on solutions rather than blame.
9240,"You stupid jackass, twat off. Keep talking and see what happens. You'll regret ever crossing me.",Could we please choose better words? I believe there's room for improvement. I'm sure we can work this out.
9241,"Oh wow, another terrible argument from a total deadbeat. It's honestly embarrassing.",I'd really appreciate if we could treat others better. Let's try to be constructive here. I hope you'll consider my perspective.
9242,You're a complete absolute filth. Just leave already.,I feel that we should reflect on your behavior. While I see where you're coming from. I'm open to discussing this further.
9243,This comment is what the hell. Nobody wants to see this crap.,Could we please act more maturely? I'd like to offer a different view. I hope you'll consider my perspective.
9244,"go to hell, you slimeball. I mean it.",Perhaps we could consider. I'd appreciate it if we could be kinder. Let's approach this constructively.
9245,This isn't over. This is your last chance.,I think it's important that we think before speaking. While I see where you're coming from. Let's focus on solutions rather than blame.
9246,You're a complete dirtbag. Nobody wants you here.,"With all due respect, I think we should be kinder. I'm sure we can work this out."
9247,"Oh wow, another terrible behavior from a total scumbag. It's honestly embarrassing.",I respectfully disagree. It would be great if we could reconsider your approach. Let's keep things civil.
9248,This work is crap. This is an embarrassment.,Let's try to be constructive here. It would be great if we could be kinder. I hope you'll consider my perspective.
9249,You're a complete son of a bitch. Go away.,I think it's important that we act more maturely. I think we can do better. I'm sure we can work this out.
9250,"You stupid buffoon, cock off. Keep talking and see what happens. You'll regret ever crossing me.",I think it's important that we think before speaking. I think we can do better. Let's focus on solutions rather than blame.
9251,"You stupid clown, bollocks off. You don't know who you're messing with. You'll regret ever crossing me.",I think there's a better way to look at this. I'd appreciate it if we could think before speaking. Let's approach this constructively.
9252,This work is damn. This is an embarrassment.,Could we please be kinder? I think there's a better way to look at this. Let's keep things civil.
9253,"You stupid dimwit, bollocks off. You don't know who you're messing with. You'll regret ever crossing me.",Perhaps we could consider. I'd appreciate it if we could be more considerate. I'm open to discussing this further.
9254,"You're nothing but a redneck, your whole family. You're a disgrace.",I'd really appreciate if we could stop this. Perhaps we could consider. Let's focus on solutions rather than blame.
9255,"This person are such a jerk , honestly.","With all due respect, I think we should show some respect. Let's approach this constructively."
9256,"You stupid imbecile, cock off. You better run. You'll regret ever crossing me.",I think it's important that we stop this. It might be worth reconsidering. I'm open to discussing this further.
9257,"You stupid moron, damn off. This isn't over. You'll regret ever crossing me.","I'd like to offer a different view, I think we should treat others better. I hope you'll consider my perspective."
9258,"go screw yourself, you idiot. No one wants you around.",While I see where you're coming from — perhaps it's time to treat others better. I'm open to discussing this further.
9259,This behavior is bastard. What a joke.,"I understand your point but, I think we should think before speaking. Let's approach this constructively."
9260,"piss off, you imbecile. Do the world a favor.",I have a different perspective. It would be great if we could stop this. Let's keep the conversation respectful.
9261,"Your question is useless, loser. Nobody cares.",I think there's a better way to look at this. I'd appreciate it if we could show some respect. Let's keep the conversation respectful.
9262,"Oh wow, another terrible work from a total bonehead. People talk, you know.",Could we please show some respect? I'd like to offer a different view. I hope we can find common ground.
9263,"screw off, you tool. Do the world a favor.",I think it's important that we choose better words. I think there's a better way to look at this. Let's keep things civil.
9264,"Your opinion is useless, deadbeat. You're beyond help.","It might be worth reconsidering, I think we should be kinder. Let's focus on solutions rather than blame."
9265,"eat dirt, you lowlife. I mean it.",I believe there's room for improvement. It would be great if we could think before speaking. Let's approach this constructively.
9266,She are such a blockhead and always have been.,I have a different perspective. I'd appreciate it if we could choose better words. Let's approach this constructively.
9267,"Your comment is useless, dumbass. Stop wasting everyone's time.",I understand your point but — perhaps it's time to think before speaking. Let's approach this constructively.
9268,You're a complete scum of the earth. You're an embarrassment.,I'd really appreciate if we could act more maturely. It might be worth reconsidering. I'm open to discussing this further.
9269,This comment is son of a bitch. I've seen better from a toddler.,"Let's try to be constructive here, I think we should reconsider your approach. I'm sure we can work this out."
9270,"She are such a scumbag , no question about it.","I understand your point but, I think we should think before speaking. Let's approach this constructively."
9271,"shove off, you bonehead. No one wants you around.",I think we can do better — perhaps it's time to stop this. I'm sure we can work this out.
9272,"What the damn, you lowlife? Just shut up.",I'd really appreciate if we could treat others better. I'd like to offer a different view. I'd love to hear your thoughts on this.
9273,You don't know who you're messing with. I mean every word.,I think there's a better way to look at this. It would be great if we could reflect on your behavior. I'd love to hear your thoughts on this.
9274,"She are such a airhead , get out of here.",Could we please stop this? I understand your point but. Let's keep things civil.
9275,This comment is crap. Nobody wants to see this crap.,Could we please show some respect? I have a different perspective. I hope you'll consider my perspective.
9276,This behavior is butthead. It's total garbage.,I think it's important that we be more considerate. I'd like to offer a different view. We can disagree without being disrespectful.
9277,"get laid, you loser. You're not welcome here.",I feel that we should choose better words. While I see where you're coming from. I hope you'll consider my perspective.
9278,"Oh wow, another terrible performance from a total tool. Even your friends agree.",Could we please act more maturely? Let's try to be constructive here. I'd love to hear your thoughts on this.
9279,You are such a slimeball and always have been.,I'd like to offer a different view. I'd appreciate it if we could be more considerate. I hope you'll consider my perspective.
9280,"What the bollocks, you numbskull? No one asked for your opinion.",Could we please be more considerate? I understand your point but. I hope we can find common ground.
9281,"Your behavior is useless, clown. Nobody cares.",While I see where you're coming from. I'd appreciate it if we could show some respect. Let's approach this constructively.
9282,"You stupid numbskull, damn off. Keep talking and see what happens. You'll regret ever crossing me.",I feel that we should reflect on your behavior. I understand your point but. We can disagree without being disrespectful.
9283,"You are such a slimeball , get out of here.",While I see where you're coming from. It would be great if we could reflect on your behavior. I hope you'll consider my perspective.
9284,"Oh wow, another terrible opinion from a total buffoon. Even your friends agree.",I respectfully disagree. It would be great if we could act more maturely. I'd love to hear your thoughts on this.
9285,You're a complete dirtbag. Nobody wants you here.,I'd really appreciate if we could choose better words. It might be worth reconsidering. I'm sure we can work this out.
9286,I'll make you pay. Consider this a warning.,I think it's important that we act more maturely. I'd like to offer a different view. I'm sure we can work this out.
9287,"Oh wow, another terrible comment from a total airhead. People talk, you know.",I think it's important that we be kinder. I believe there's room for improvement. Let's focus on solutions rather than blame.
9288,"You're nothing but a racist, your type. No one wants you here.",While I see where you're coming from. I'd appreciate it if we could choose better words. I'm sure we can work this out.
9289,"screw off, you slimeball. You're not welcome here.",I'd really appreciate if we could reflect on your behavior. I believe there's room for improvement. I hope you'll consider my perspective.
9290,"You stupid buffoon, shit off. You'll get what's coming to you. You'll regret ever crossing me.",Could we please be more considerate? Perhaps we could consider. Let's approach this constructively.
9291,"You stupid bonehead, bitch off. Watch your back. You'll regret ever crossing me.","It might be worth reconsidering, I think we should stop this. Let's approach this constructively."
9292,"eat dirt, you scumbag. I mean it.","I'd like to offer a different view, I think we should reflect on your behavior. We can disagree without being disrespectful."
9293,I know where you live. Don't push me.,I respectfully disagree. I'd appreciate it if we could choose better words. I'd love to hear your thoughts on this.
9294,"Oh wow, another terrible question from a total deadbeat. You're the last to know how bad it is.",I think it's important that we be kinder. I believe there's room for improvement. I'd love to hear your thoughts on this.
9295,"You're nothing but a sexist, this whole group. Go back where you came from.",I'd really appreciate if we could choose better words. I have a different perspective. Let's keep things civil.
9296,You're a complete dirtbag. You're an embarrassment.,It might be worth reconsidering. I'd appreciate it if we could be kinder. Let's approach this constructively.
9297,You're a complete worthless excuse for a human. Just leave already.,I think it's important that we reconsider your approach. I'd like to offer a different view. I hope you'll consider my perspective.
9298,"Your contribution is useless, lowlife. Stop wasting everyone's time.",I'd really appreciate if we could be kinder. It might be worth reconsidering. We can disagree without being disrespectful.
9299,You're a complete scum of the earth. You're an embarrassment.,I understand your point but. I'd appreciate it if we could be kinder. I'd love to hear your thoughts on this.
9300,You're a complete utter trash. You're an embarrassment.,I think it's important that we think before speaking. I'd like to offer a different view. Let's approach this constructively.
9301,This person are such a blockhead — that much is clear.,It might be worth reconsidering. It would be great if we could stop this. We can disagree without being disrespectful.
9302,"What the friggin, you scumbag? Just shut up.",I'd really appreciate if we could act more maturely. It might be worth reconsidering. Let's focus on solutions rather than blame.
9303,You're a complete dirtbag. Just leave already.,Could we please stop this? I think we can do better. Let's keep the conversation respectful.
9304,"Oh wow, another terrible response from a total creep. You're the last to know how bad it is.",Could we please reflect on your behavior? I respectfully disagree. Let's approach this constructively.
9305,You better run. Consider this a warning.,I'd really appreciate if we could act more maturely. With all due respect. I'm sure we can work this out.
9306,"You're nothing but a thug, this whole group. Go back where you came from.","I think we can do better, I think we should be more considerate. Let's keep the conversation respectful."
9307,"go screw yourself, you dumbass. Seriously.",I feel that we should choose better words. Let's try to be constructive here. Let's focus on solutions rather than blame.
9308,"You stupid buffoon, friggin off. This isn't over. You'll regret ever crossing me.",I think it's important that we reflect on your behavior. While I see where you're coming from. I'm open to discussing this further.
9309,"You stupid lowlife, freaking off. I'll make you pay. You'll regret ever crossing me.",Could we please be more considerate? Let's try to be constructive here. I hope we can find common ground.
9310,"They are such a deadbeat , no question about it.",It might be worth reconsidering — perhaps it's time to choose better words. Let's keep the conversation respectful.
9311,"piss off, you imbecile. And don't come back.","I think there's a better way to look at this, I think we should stop this. Let's focus on solutions rather than blame."
9312,"Oh wow, another terrible opinion from a total imbecile. You're the last to know how bad it is.",I understand your point but. It would be great if we could treat others better. I'm open to discussing this further.
9313,"You're nothing but a xenophobe, you. You're the problem with society.",Could we please act more maturely? Perhaps we could consider. Let's keep things civil.
9314,"You're nothing but a fascist, everyone here. Go back where you came from.",I feel that we should choose better words. I think we can do better. I'm sure we can work this out.
9315,"Your argument is useless, airhead. Nobody cares.",I respectfully disagree. It would be great if we could act more maturely. I'm open to discussing this further.
9316,Keep talking and see what happens. Don't push me.,I think it's important that we act more maturely. I'd like to offer a different view. Let's approach this constructively.
9317,"Your comment is useless, moron. Stop wasting everyone's time.",I feel that we should treat others better. I believe there's room for improvement. Let's keep the conversation respectful.
9318,"You stupid numbskull, bollocks off. Keep talking and see what happens. You'll regret ever crossing me.",With all due respect. I'd appreciate it if we could stop this. Let's keep the conversation respectful.
9319,"get laid, you idiot. Seriously.",While I see where you're coming from. I'd appreciate it if we could be more considerate. Let's focus on solutions rather than blame.
9320,"You are such a idiot , honestly.",I feel that we should reconsider your approach. I understand your point but. We can disagree without being disrespectful.
9321,"You stupid loser, fuck off. This isn't over. You'll regret ever crossing me.",I'd really appreciate if we could act more maturely. Let's try to be constructive here. Let's keep the conversation respectful.
9322,They are such a moron — that much is clear.,I respectfully disagree. It would be great if we could show some respect. I hope we can find common ground.
9323,"What the dick, you scumbag? You're irrelevant.",I respectfully disagree — perhaps it's time to be kinder. Let's focus on solutions rather than blame.
9324,"You're nothing but a radical, all of you. You're the problem with society.",I think there's a better way to look at this. I'd appreciate it if we could act more maturely. I hope we can find common ground.
9325,"You're nothing but a hillbilly, this whole group. You're the problem with society.",While I see where you're coming from. I'd appreciate it if we could reflect on your behavior. I'm open to discussing this further.
9326,"You're nothing but a thug, your kind. Stay away from normal people.",Let's try to be constructive here. I'd appreciate it if we could be more considerate. Let's keep things civil.
9327,This opinion is shithead. I've seen better from a toddler.,I feel that we should show some respect. I think there's a better way to look at this. I'm open to discussing this further.
9328,"suck it, you bonehead. I mean it.","I think we can do better, I think we should reflect on your behavior. Let's focus on solutions rather than blame."
9329,"drop dead, you imbecile. I mean it.",I think it's important that we stop this. I respectfully disagree. I'm sure we can work this out.
9330,"That guy are such a dumbass , no question about it.",I understand your point but. I'd appreciate it if we could reconsider your approach. Let's keep the conversation respectful.
9331,"You stupid jerk, shit off. I'll make you pay. You'll regret ever crossing me.",While I see where you're coming from. It would be great if we could reconsider your approach. Let's keep the conversation respectful.
9332,"up yours, you creep. Seriously.",With all due respect. It would be great if we could act more maturely. I hope we can find common ground.
9333,You'll get what's coming to you. This is your last chance.,"I respectfully disagree, I think we should think before speaking. I hope you'll consider my perspective."
9334,"You're nothing but a redneck, your kind. You're the problem with society.",I feel that we should show some respect. I believe there's room for improvement. I'd love to hear your thoughts on this.
9335,"You stupid buffoon, crap off. You'll regret this. You'll regret ever crossing me.",I think it's important that we reflect on your behavior. I think we can do better. Let's keep the conversation respectful.
9336,"get laid, you tool. And don't come back.",I believe there's room for improvement — perhaps it's time to be more considerate. Let's keep the conversation respectful.
9337,This attitude is butthead. It's total garbage.,"It might be worth reconsidering, I think we should reflect on your behavior. Let's keep things civil."
9338,You're a complete disgusting pig. I can't believe you exist.,I feel that we should choose better words. Let's try to be constructive here. I hope you'll consider my perspective.
9339,You're a complete absolute filth. Go away.,I'd like to offer a different view — perhaps it's time to reflect on your behavior. We can disagree without being disrespectful.
9340,You're a complete asshole. Go away.,I think it's important that we be kinder. Let's try to be constructive here. Let's focus on solutions rather than blame.
9341,"You're nothing but a fascist, everyone here. You're a disgrace.",I feel that we should be more considerate. I have a different perspective. I hope we can find common ground.
9342,"Your idea is useless, jerk. Stop wasting everyone's time.",Could we please treat others better? With all due respect. Let's keep the conversation respectful.
9343,"You stupid deadbeat, freaking off. Keep talking and see what happens. You'll regret ever crossing me.",I think it's important that we act more maturely. While I see where you're coming from. I'd love to hear your thoughts on this.
9344,"They are such a jerk , no question about it.","I respectfully disagree, I think we should treat others better. I'd love to hear your thoughts on this."
9345,"What the dick, you idiot? Just shut up.",I'd really appreciate if we could think before speaking. I believe there's room for improvement. Let's approach this constructively.
9346,"What the prick, you slimeball? Nobody cares what you think.","Let's try to be constructive here, I think we should be more considerate. I'm sure we can work this out."
9347,"You're nothing but a fascist, your kind. Go back where you came from.",Perhaps we could consider — perhaps it's time to think before speaking. I'm open to discussing this further.
9348,"get laid, you bonehead. And don't come back.","Perhaps we could consider, I think we should think before speaking. Let's keep the conversation respectful."
9349,"You're nothing but a homophobe, people like you. You're a disgrace.",Could we please treat others better? While I see where you're coming from. We can disagree without being disrespectful.
9350,"You stupid imbecile, balls off. This isn't over. You'll regret ever crossing me.",Could we please be kinder? While I see where you're coming from. I hope we can find common ground.
9351,This person are such a numbskull and everyone knows it.,I think it's important that we show some respect. I believe there's room for improvement. Let's approach this constructively.
9352,"What the piss, you deadbeat? You're wasting everyone's time.",With all due respect. I'd appreciate it if we could act more maturely. I hope you'll consider my perspective.
9353,"eat dirt, you numbskull. No one wants you around.",I think it's important that we reflect on your behavior. I have a different perspective. I hope you'll consider my perspective.
